sender	time
2 0.51
4 0.84
10 1.20
1 2.23
2 2.58
1 2.87
5 3.20
2 3.80
5 4.19
7 4.58
10 4.94
6 5.20
10 5.53
1 5.93
3 7.26
8 7.65
6 8.01
3 8.69
4 9.10
3 9.42
6 10.86
1 11.08
6 11.48
9 12.80
3 13.55
8 13.92
10 14.51
3 14.89
2 15.63
9 16.02
10 16.35
10 17.08
6 17.32
5 18.68
8 19.11
10 19.37
4 19.77
2 20.37
5 20.82
1 21.52
2 22.18
5 22.49
1 22.90
3 23.47
6 23.92
1 24.31
7 24.85
5 25.65
8 26.65
2 27.08
1 27.42
7 28.30
3 28.71
2 29.11
9 29.48
6 30.19
4 30.79
5 31.41
5 32.26
4 32.80
6 33.62
1 34.19
6 34.54
8 34.86
5 35.26
6 35.58
8 36.35
1 36.70
5 38.05
10 39.11
1 40.43
3 41.51
8 41.86
2 42.12
2 43.23
7 43.93
4 44.94
2 45.70
9 45.99
6 46.26
10 48.09
9 49.05
8 49.36
4 50.05
2 50.73
8 51.53
7 52.58
5 53.97
2 54.29
9 54.60
2 55.21
1 55.93
10 56.29
10 56.96
8 57.45
1 57.76
4 58.07
3 59.03
7 59.47
4 60.16
2 60.53
8 61.51
6 62.61
7 62.95
9 63.57
1 63.96
5 64.67
2 64.96
7 65.23
8 65.73
9 66.61
2 67.03
4 67.38
2 67.71
3 68.12
5 68.46
2 68.74
9 69.78
6 70.11
5 70.88
4 71.09
6 71.44
3 72.15
6 72.93
2 73.26
1 73.85
2 74.61
10 75.98
6 77.04
6 77.65
3 78.09
1 78.45
7 78.68
5 79.18
4 79.82
5 81.53
1 83.96
3 84.68
1 84.90
4 85.30
8 85.58
6 85.96
1 86.33
7 86.61
5 87.35
1 87.74
3 88.09
3 88.82
4 89.18
1 90.18
7 90.46
6 90.76
7 91.15
2 91.88
5 92.15
5 92.84
7 94.30
4 95.38
3 95.96
8 96.39
1 96.99
9 97.33
7 98.48
2 98.79
1 99.09
7 99.53
