organizer,session-title,text
Levi S. Gibbs,Regional Identity in Modern Chinese Literature ,"How do writers, performers, poets, and filmmakers mediate between particular localities, neighboring regions, and 
broader notions of Chineseness in their representations of Chinese regional identities? And how do the emerging 
conversations shed light on changing relationships between region and capital, the local and national, and North and South 
China? Looking at poems, ballads, novels, films, and TV dramas from diverse regions across China and beyond in light of 
recent studies of regional representation, poetics, eco-literature, and the role of language and dialect in identity formation, 
this panel explores insider and outsider views of place and what happens when regions transgress borders. The panelists 
examine how nineteenth century drum ballads formed a literary geography of North China that shifted from a sense of 
belonging in a unified world of empire to an emphasis on the local, how borderland poets from southwest China and 
North-East India use imagery and themes of cultural and ecological change to convey new senses of being, place, and 
identity, how educated urban narrators in interactions between Putonghua-speaking sent-down youth and dialect-speaking 
locals negotiate local languages in contemporary film and fiction, and how gendered representations of northern Shaanxi 
men and women in recent novels and TV dramas serve as discursive sites for broader discussions of cultural exchange and 
rebirth in China. In each case, the changing depictions of the familiar and unfamiliar suggest evolving senses of place and 
identity during Chinas recent history. 
"
Ingrid Yeung,Ritual Design in China ,"Transdisciplinary discussions on ritual from the angles of performativity, visuality, and materiality have continued to 
renew the subject of study over the past two to three decades. Some of the key questions raised have yet to be fully 
addressed in the study of rituals in China. How is ritual a performative practice? When vision is understood as socially 
constructed, how does it change the way we think about ritual display? What roles do materials play in ritual? 
This panel reframes these and other issues - the making of self-identities, exertion of authority, and maintenance of social 
order - as ritual design. Examining diverse source materials that range from Yinxu oracle bones and grave goods, early 
Chinese discussions of clothing and textiles, Kitan ceremonial attire, and Yuan court ceramics, this panel asks how the 
study of ritual objects, their material qualities, and their functions in the production of ritual acts, can be enriched by the 
conceptual framework of ritual design. 
Our format of inquiry, which is discussion-based and workshop-style, departs from the orthodox paper presentation 
model. Participants will first provide a short description of their source material and concisely address the question, what 
is ritual design in China? The panelists will then comment on each others pre-circulated work-in-progress papers and 
discuss the value of ritual design as a methodological approach. 
"
Christian P. Sorace,Wenchuan Earthquake: A Decade of Changes and Continuities ,"This roundtable marks the 10-year anniversary of the biggest disaster in Chinas recent history, the Wenchuan 
Earthquake, which transformed state-society relations, crisis management and ideology work. In the immediate post-
quake aftermath, the unprecedented outpouring of social compassion, volunteerism, rise of NGOs and open media 
coverage appeared to mark the long anticipated emergence of civil society in China. These brief intervals of possibility 
flickered out as the Party-state embarked on a top-down process of reconstruction, moral performance, and legitimation. 
The state at once exhibited responsiveness and deployed its repressive apparatus to silence grieving parents whose 
children were crushed underneath shoddily-constructed tofu-dreg schoolhouses, and to censor the media. To this day, 
the Wenchuan disaster remains a sensitive subject to investigate. Our panelists will discuss, from a variety of disciplinary 
and methodological perspectives, the different Chinas that emerged, and were buried, during the earthquake and its 
aftermath, distilling the shifts and continuities in Chinas modes of governance and state-society dynamics. 
As a former NPR correspondent during the Wenchuan earthquake, our chair, Louisa Lim, is uniquely positioned to 
moderate the roundtable. All the other participants will draw from their recent books, entirely or partially devoted to the 
study of the disaster. Christian Sorace will discuss the earthquake from the perspective of the Communist Partys 
legitimation strategies and concern with image-building. Kang Yi will trace the development trajectory of different types 
of non-governmental organizations and discuss the fluid NGO-state relationship during the eight years after the 
