,organizer,session-title,text
0,Amy Catalinac,Japanese Politics and Foreign Policy: Harnessing Qualitative and Quantitative Textual ,"In recent years, an explosion of methods for text analysis has been transforming research in the humanities and social 
sciences.  While most of the new tools are quantitative, their effective application requires a deep understanding of the 
social and political context in which the documents being studied and words used exist. Applying text-as-data tools to 
documents written in languages other than English entails special challenges, such as how to extract  machine-readable 
text when a language uses thousands of characters.  This panel pulls together junior and mid-career scholars from Japan 
and the United States who are pioneering the application of these methods to Japanese documents to answer important 
questions in their fields of inquiry. 
Matsumoto and Okazaki use text analysis to demonstrate that the lowering of barriers to entry by commoners during the 
Meiji era did not result in a democratization of the hierarchy within elites. Gopelrud and Smith use millions of speeches in 
the Japanese Diet to show that Japan's 1994 electoral reform brought about the rise of  responsible party government. 
Katagiri uses 450,000 utterances on foreign policy in the same period to illustrate how worried Japanese politicians are 
about becoming entangled in U.S. wars. Catalinac, Bueno de Mesquita, and Smith use thousands of candidate manifestos 
to calibrate the degree to which candidates focus on different areas within their electoral districts. Panel discussion will 
focus on the substantive findings of the papers presented and also on the challenges involved in applying these tools to 
text in Japanese. 
"
1,Jennifer Prough,Making Place in Japanese Cities ,"Today more and more of the world's population is concentrated in urban areas, and this is particularly true throughout 
Asia. Cities are shaped as places by state and municipal institutions, migrants and longstanding residents, as well as 
transnational actors and international institutions. Indeed, cities are amalgamations of places, without one solid or 
consistent identity. Japan has an urbanization rate of more than 93 percent; and yet, as the national population is both 
aging and shrinking, cities are faced with significant demographic shifts. Japanese cities and citizens employ a variety of 
strategies to counteract these challenges at the municipal and local level. This panel will explore the various ways that 
cities are shaped, branded, experienced, and understood by the state, local institutions, and the people who reside or travel 
through them. Hasegawa examines tour guide narratives in Chjamachi, Yokohama analyzing the way that local 
businesses tell their stories for tourists.  Oyama discusses Nagareyama, a city on the outskirts of Tokyo that has been 
successful at rebranding itself to attract young families.  Prough examines the way that one off-the-beaten-path 
neighborhood in Kyoto remade itself as a site for local experiential tourism. While Puzo analyses the ways that foreign 
researchers in Osaka make place while out of place.  All of these papers thus address, ways that local actors and visitors 
construct a sense of place within Japanese cities in dialogue with broader national narratives and social issues. 
"
2,Christophe Thouny,Japanese Studies in the Age of the Planetary ,"The triple catastrophe of March 2011 combining earthquake, tsunami and nuclear disaster has durably affected Japan and 
our academic practices. Or has it? For it remains to account for the effect of this tragic event for Japan, Asia and the 
planet. This roundtable takes as a starting point the 2017 publication of Planetary Atmospheres and Urban Society After 
Fukushima, an anthology that attempts to make sense of the contemporaneity of Fukushima Japan in what we define as a 
planetary situation. Looking at cultural texts, political discourses, and urban practices, this volume claims for the necessity 
to understand the ongoing crisis of Fukushima Japan in terms of, as Thomas Looser argues,  a common assemblage of 
processes in which we are all implicated. Acknowledging this new situation is the necessary starting point for rethinking 
the role of the humanities and relocate Japanese studies within emerging discourses about the anthropocene, post-
humanism and urban dwelling. Following the approach pioneered in this volume, we argue for the need to combine 
effectively the analysis of cultural texts with both theoretical reflection and a proper understanding of everyday practices 
in urban places. Following a short introduction on the concept of planetary thinking in relation to recent debates in the 
humanities, Japanese studies and ecocriticism, the roundtable then proceeds in two parts each articulated around one 
theme and a disciplinary approach. Drawing on their extended knowledge of conditions of urban life in Tokyo and the 
Fukushima prefecture after 3.11, Ramona Bajema and Ccile Brice discuss the import of the concept of the planetary to 
understand the everyday reality of local populations and their affective investments in local dwelling places in relation to 
population movements and housing policies. In a second part, Ueno Toshiya and Mitsuhiro Yoshimoto then propose a 
reframing of the debates about Fukushima Japan in terms of a planetary thinking. Drawing in particular on recent 
environmental thought inspired by Flix Guattari's 1989 Three Ecologies, they ask how our disciplinary practices can be 
productively renewed to answer our planetary situation in Fukushima Japan and other times and places. 
"
3,Garrett L. Washington,"Rethinking Education and Women's Empowerment in Imperial, Occupied, and ","Women in modern Japan have faced entrenched biases and considerable obstacles. And yet, as significant research on 
Tsuda Umeko has demonstrated, some found pathways to public, professional lives through education. Building from 
those insights, this panel examines how elite women in imperial and postwar Japan used education to empower 
themselves and influence society. Mamiko Suzuki investigates Meiji court lady and Jissen Women's University founder 
Utako Shimoda (1854-1936). She developed a modern, gendered curriculum that combined practical subjects such as 
Domestic Science with courses highlighting female role models from ancient Japanese history and myth. Garrett 
Washington examines Yasui Tetsu (1870-1945), who attended Tokyo Women's Higher Normal School and the University 
of Cambridge, founded Tokyo Women's Christian University, and became Japan's first woman university president when 
she assumed the presidency at TWCU in 1925. Marlene Mayo studies Tomiyama Toki (b. 1885), principal of the Friends' 
Girls School in Tokyo from 1926 and 1949, who developed transnational networks, studied abroad in the US, and then led 
her alma mater through World War II and the early Allied Occupation. Alisa Freedman analyzes pioneering efforts of 
Japanese women who studied abroad in the U.S between 1949 and 1966 and then played a significant role in establishing 
the field of Japanese Studiesâ€”a role underemphasized in the conventional  founding fathers narrative. Together, these 
papers present agentic Japanese women, from the Meiji period to the postwar era, who seized educational opportunities at 
home and abroad and later founded universities, advanced academic fields, and elevated women's status in Japan. 
"
4,Miriam Kingsberg Kadia,Representing Imperial Japan and its Aftermath ,"Coming Soon 
"
5,James C. Dobbins,Publishing in Scholarly Journals on Japan ,"This workshop is a roundtable discussion on publishing in scholarly journals, particularly ones focused on Japan. The 
panelists consist of the editors of five important journals based variously in North America, the U.K., and Japan: Pacific 
Affairs, Journal of Japanese Studies, Japan Forum, Monumenta Nipponica, and Social Science Japan Journal. The goal is 
to outline and elucidate the pathway to publishing in these journals in the hope of demystifying the process for scholars, 
especially younger ones in the early stages of their career. In exploring different aspects of this process, the workshop will 
provide plenty of time for the audience to ask questions. 
The session will consist of four segments addressing the following sample questions: 
1. Introduction to the Five Journals 
What is the mission or focus of each journal, and what type of submissions does each consider? 
Is it all right to contact an editor for advice before submitting an article? 
How long does the submission and publication process take? 
What percentage of submissions actually reach publication? 
 
2. Publishing Academic Articles 
What are the stages of review for submissions? 
How does the blind refereeing process work? 
What does a revise-and-resubmit response mean? 
What are the complications in trying to publish dissertation chapters both as individual articles and as chapters in a 
book? 
 
3. Publishing Book Reviews 
How are books selected for review? 
How are book reviewers selected? 
Why are some books not reviewed? 
What happens when a reviewer finds a book seriously problematic or unworthy of review? 
 
4. Special Concerns in Publishing 
What are the pros and cons of the blind referring process? 
How important is the  impact factor of a journal? 
How can journals be more transparent in their operations? 
 
As much as possible, this workshop seeks to create an open forum on all aspects of scholarly publishing for potential 
contributors. "
6,Daria Melnikova,"Artists Acting up in the Season of Politics: Literature, Folklore, Performance, ","This interdisciplinary panel examines the role of the artist and artistic practices in the politically charged milieu of Japan 
in the 1960s to 1970s. We are driven by large and enduring questions: What is art and what is non-art? What are different 
ways to be political, and what, if anything, is nonpolitical? How do different aspects of the medium affect the artistic or 
political message? How do writers, performers, architects, and theorists grapple with these issues in an era of highly 
politicized art? In order to answer these questions, this panel brings together scholars at different stages in their careers 
from four different disciplines to address a wide range of media. Andrew Rankin opens the panel with a theoretical 
investigation of Mishima Yukio's notion of  aesthetic terrorism, which stresses a fundamentally transgressive and 
oppositional view of art. Lisa Hsieh's paper explores the practices of Anti-Art and Non-Art by focusing on multimedia 
works, especially the ephemera associated with the architectural New Wave  nongroup ArchiteXt. This is followed by 
Hideyo Konagaya's analysis of the politicized dichotomy of artistic versus folkloristic/non-artistic dance, in 
